Ind,Code,First_name,Last_name,Position,Shoots,Draft_year,Draft_round,Height,Weight,DOB,Age,Country,Place,Year,Team,Games,Goals,Assists,Points,PM,Pen,G_ev,G_pp,G_sh,Gwg,A_ev,A_pp,A_sh,S,SA,TOI,TOI_avg,FOW,FOL,HIT,BLK,TKY,GWY,PDO,OZS,DZS,OPS,DPS,Salary,Cap_hit,P/60,P1/60,GS/60,CF,CA,CF%,Rel CF%,GF,GA,xGF,xGA,xGF%,Rel xGF%,iPENT,iPEND,iSh%,ixGF,ixGF/60,ZSR,TOI%,TOI% QoT,CF% QoT,TOI% QoC,CF% QoC,GP,G,A,P,P1,GS,C+/-,G+/-,GF%,xG+/-,iP+/-,iCF,iCF/60
0,abdelju01,Justin,Abdelkader,LW,L,2005,2.042,188,214,1987-02-25,31.57632119,US,Other,2008,DET,2,0,0,0,0,2,0,0,0,0,0,0,0,6,8,23.02,12.13,5,7,5,0,1,0,98.6,60.0,40.0,-0.1,0.0,740000.0,740000.0,,,0.99,19,18,51.35,-9.68,1,1,0.98,0.49,66.67,-0.29,1,,,0.49,1.28,60,24.92,24.9,57.53,27.17,50.52,2.0,,,,,0.38,1,,50,0.49,-1,8,20.85
1,abdelju01,Justin,Abdelkader,LW,L,2005,2.042,188,214,1987-02-25,31.57632119,US,Other,2009,DET,2,0,0,0,0,0,0,0,0,0,0,0,0,2,7,18.58,9.18,4,3,3,0,0,1,100.0,66.7,33.3,-0.1,0.0,740000.0,740000.0,,,2.62,22,9,70.97,11.51,,,0.86,0.24,78.18,25.03,,,,0.34,1.1,66.67,21.13,28.78,57.49,28.03,52.09,2.0,,,,,0.81,13,,,0.62,,7,22.6
2,abdelju01,Justin,Abdelkader,LW,L,2005,2.042,188,214,1987-02-25,31.57632119,US,Other,2010,DET,50,3,3,6,-11,35,3,0,0,0,3,0,0,79,141,478.57,10.35,148,170,152,20,7,7,94.3,66.3,33.7,-0.6,0.2,740000.0,740000.0,0.75,0.75,1.38,405,376,51.86,-1.53,9,21,16.39,14.54,52.99,1.23,14,17,4.17,6.66,0.83,66.14,19.88,26.73,51.18,27.71,49.37,50.0,3,3,6,6,11,29,-12,,1.85,3,132,16.55
3,abdelju01,Justin,Abdelkader,LW,L,2005,2.042,188,214,1987-02-25,31.57632119,US,Other,2011,DET,74,7,12,19,15,61,7,0,0,1,11,0,1,129,226,767.45,12.18,227,203,188,39,17,20,101.9,58.8,41.2,0.2,1.5,787500.0,787500.0,1.41,1.09,2.46,755,623,54.79,1.83,33,20,31.25,23.08,57.52,6.93,21,21,5.79,9.51,0.74,58.74,21.36,28.14,53.65,27.93,49.69,74.0,7,11,18,14,31.52,132,13,62.26,8.17,,212,16.57
4,abdelju01,Justin,Abdelkader,LW,L,2005,2.042,188,214,1987-02-25,31.57632119,US,Other,2012,DET,81,8,14,22,4,62,8,0,0,1,14,0,0,121,196,869.88,12.19,239,213,148,42,16,14,100.5,59.3,40.7,0.5,1.1,787500.0,787500.0,1.52,1.38,2.33,797,695,53.42,-1.91,32,27,34.15,31.81,51.77,-2.74,19,30,6.96,9.37,0.65,59.29,22.22,28.21,54.46,28.11,49.41,81.0,8,14,22,20,33.72,102,5,54.24,2.34,11,189,13.04
5,abdelju01,Justin,Abdelkader,LW,L,2005,2.042,188,214,1987-02-25,31.57632119,US,Other,2013,DET,48,10,3,13,6,34,10,0,0,0,3,0,0,96,147,646.53,14.49,65,60,120,13,10,10,101.0,52.2,47.8,0.6,1.1,1800000.0,1800000.0,1.02,0.93,2.08,592,472,55.64,2.41,20,14,22.5,19.87,53.1,0.39,13,15,8.89,8.14,0.76,52.84,27.83,30.68,52.31,29.48,49.76,48.0,8,3,11,10,22.36,120,6,58.82,2.63,2,134,12.44
6,abdelju01,Justin,Abdelkader,LW,L,2005,2.042,188,214,1987-02-25,31.57632119,US,Other,2014,DET,70,10,18,28,2,31,9,1,0,3,16,2,0,147,223,951.68,15.17,23,32,172,31,21,15,100.9,52.5,47.5,1.3,1.2,1800000.0,1800000.0,1.51,1.13,1.97,828,804,50.74,-0.72,38,33,33.54,32.23,51,0.71,11,19,6.43,11.04,0.7,52.71,28.26,30.35,51.62,29.19,50.11,70.0,9,15,24,18,31.31,24,5,53.52,1.31,8,207,13.05
7,abdelju01,Justin,Abdelkader,LW,L,2005,2.042,188,214,1987-02-25,31.57632119,US,Other,2015,DET,71,23,21,44,3,72,15,8,0,5,15,6,0,154,237,976.43,17.55,7,8,153,28,16,29,100.2,63.6,36.4,4.0,1.6,1800000.0,1800000.0,1.6,1.47,2.36,856,673,55.98,3.3,40,31,35.32,27.93,55.84,5.96,21,25,12.73,10.13,0.62,62.91,28.26,31.29,52.17,29.61,49.58,71.0,14,12,26,24,38.48,183,9,56.34,7.39,4,174,10.69
8,abdelju01,Justin,Abdelkader,LW,L,2005,2.042,188,214,1987-02-25,31.57632119,US,Other,2016,DET,82,19,23,42,-16,120,13,6,0,4,16,7,0,155,239,1103.03,18.26,5,9,207,44,23,29,98.3,58.7,41.3,2.7,1.1,1800000.0,1800000.0,1.31,1.09,1.33,933,938,49.87,-2.9,35,45,40.83,46.3,46.86,-4.54,34,31,9.48,11.8,0.64,58.11,27.46,31.44,52.6,29.73,49.82,82.0,11,13,24,20,24.36,-5,-10,43.75,-5.47,-3,180,9.79
9,abdelju01,Justin,Abdelkader,LW,L,2005,2.042,188,214,1987-02-25,31.57632119,US,Other,2017,DET,64,7,14,21,-20,50,2,5,0,1,11,2,1,104,160,813.08,16.4,5,12,144,27,15,18,96.4,46.3,53.7,0.1,0.5,4250000.0,4250000.0,0.74,0.59,0.5,643,762,45.77,-2.42,17,36,27.21,34.88,43.82,-3.85,16,28,2.67,6.86,0.51,45.02,25.49,29.97,48.9,28.86,50.4,64.0,2,8,10,8,6.8,-119,-19,32.08,-7.67,12,124,9.15
10,abdelju01,Justin,Abdelkader,LW,L,2005,2.042,188,214,1987-02-25,31.57632119,US,Other,2018,DET,75,13,22,35,-11,78,9,4,0,0,17,5,0,110,201,918.45,16.33,47,50,174,40,21,34,98.6,49.8,50.2,1.4,1.1,4250000.0,4250000.0,1.44,1.05,1.23,834,867,49.03,0.31,33,42,35.01,38.46,47.65,-1.27,15,12,11.54,9.35,0.61,48.66,25.2,29.8,48.47,28.87,49.91,74.0,9,13,22,16,18.77,-33,-9,44,-3.45,-3,155,10.13
11,adamscr01,Craig,Adams,RW,R,1996,9.222999999999999,183,197,1977-04-26,41.41088325,BN,Other,2008,TOT,75,4,7,11,-16,58,3,0,1,1,7,0,0,63,110,585.77,10.48,19,22,117,43,22,9,94.2,51.0,49.0,-0.7,0.1,600000.0,600000.0,0.72,0.31,0.14,414,513,44.66,-6.88,10,30,14.83,23.03,39.17,-11.22,14,16,4.35,3.6,0.37,52.55,18.08,27.95,49.89,28.39,49.98,73.0,2,5,7,3,1.4,-99,-20,25,-8.2,2,88,9.01
12,adamscr01,Craig,Adams,RW,R,1996,9.222999999999999,183,197,1977-04-26,41.41088325,BN,Other,2008,CAR,40,2,3,5,-8,34,2,0,0,0,3,0,0,31,64,585.77,9.48,3,8,67,20,13,4,94.6,53.5,46.5,-0.4,0.0,600000.0,600000.0,0.72,0.31,0.14,414,513,44.66,-6.88,10,30,14.83,23.03,39.17,-11.22,14,16,4.35,3.6,0.37,52.55,18.08,27.95,49.89,28.39,49.98,73.0,2,5,7,3,1.4,-99,-20,25,-8.2,2,88,9.01
13,adamscr01,Craig,Adams,RW,R,1996,9.222999999999999,183,197,1977-04-26,41.41088325,BN,Other,2008,CHI,35,2,4,6,-8,24,1,0,1,1,4,0,0,32,46,585.77,11.56,16,14,50,23,9,5,93.3,48.1,51.9,-0.3,0.1,600000.0,600000.0,0.72,0.31,0.14,414,513,44.66,-6.88,10,30,14.83,23.03,39.17,-11.22,14,16,4.35,3.6,0.37,52.55,18.08,27.95,49.89,28.39,49.98,73.0,2,5,7,3,1.4,-99,-20,25,-8.2,2,88,9.01
14,adamscr01,Craig,Adams,RW,R,1996,9.222999999999999,183,197,1977-04-26,41.41088325,BN,Other,2009,TOT,45,2,5,7,-3,22,1,1,0,0,5,0,0,47,81,344.3,8.41,8,13,67,20,7,3,96.9,56.5,43.5,-0.2,0.3,600000.0,600000.0,0.7,0.7,1.42,302,269,52.89,-1.27,5,9,11.11,11.14,49.93,-4.22,4,7,2.38,2.87,0.5,58.38,16.63,27.44,52.56,27.92,49.53,45.0,1,3,4,4,8.12,33,-4,35.71,-0.03,3,72,12.55
15,adamscr01,Craig,Adams,RW,R,1996,9.222999999999999,183,197,1977-04-26,41.41088325,BN,Other,2009,CHI,36,2,4,6,-3,22,1,1,0,0,4,0,0,38,67,344.3,8.43,6,10,53,16,7,3,97.4,52.6,47.4,-0.1,0.2,600000.0,600000.0,0.7,0.7,1.42,302,269,52.89,-1.27,5,9,11.11,11.14,49.93,-4.22,4,7,2.38,2.87,0.5,58.38,16.63,27.44,52.56,27.92,49.53,45.0,1,3,4,4,8.12,33,-4,35.71,-0.03,3,72,12.55
16,adamscr01,Craig,Adams,RW,R,1996,9.222999999999999,183,197,1977-04-26,41.41088325,BN,Other,2009,PIT,9,0,1,1,0,0,0,0,0,0,1,0,0,9,14,344.3,8.34,2,3,14,4,0,0,94.6,74.3,25.7,-0.1,0.1,600000.0,600000.0,0.7,0.7,1.42,302,269,52.89,-1.27,5,9,11.11,11.14,49.93,-4.22,4,7,2.38,2.87,0.5,58.38,16.63,27.44,52.56,27.92,49.53,45.0,1,3,4,4,8.12,33,-4,35.71,-0.03,3,72,12.55
17,adamscr01,Craig,Adams,RW,R,1996,9.222999999999999,183,197,1977-04-26,41.41088325,BN,Other,2010,PIT,82,0,10,10,-5,72,0,0,0,0,10,0,0,84,147,666.9,11.06,243,311,193,58,22,12,99.2,42.4,57.6,-1.5,0.7,550000.0,550000.0,0.81,0.36,0.47,503,595,45.81,-7.35,17,23,17.89,21.22,45.74,-7.87,18,14,,4.4,0.4,42.48,17.62,28.37,52.27,27.97,49.33,81.0,,9,9,4,5.17,-92,-6,,-3.33,-4,119,10.71
18,adamscr01,Craig,Adams,RW,R,1996,9.222999999999999,183,197,1977-04-26,41.41088325,BN,Other,2011,PIT,80,4,11,15,-5,76,2,0,2,1,9,0,2,90,138,715.43,12.11,194,271,171,64,24,15,96.8,49.4,50.6,-0.7,0.9,550000.0,550000.0,0.67,0.25,0.53,558,630,46.97,-7.4,15,27,19.02,22.79,45.49,-7.2,19,17,1.37,5.79,0.49,50.62,18.86,28.4,53.12,28.38,49.65,80.0,1,7,8,3,6.32,-72,-12,35.71,-3.77,-2,115,9.64
19,adamscr01,Craig,Adams,RW,R,1996,9.222999999999999,183,197,1977-04-26,41.41088325,BN,Other,2012,PIT,82,5,13,18,-6,34,5,0,0,0,10,0,3,76,130,682.17,11.17,132,160,162,45,13,7,97.1,43.8,56.2,-0.1,0.6,675000.0,675000.0,1.32,0.88,1.31,521,534,49.38,-5.8,21,30,21.07,20.39,50.82,-3.33,7,7,7.58,5.59,0.49,44.25,17.16,28.05,53.71,28.33,49.36,82.0,5,10,15,10,14.89,-13,-9,41.18,0.68,,116,10.2
20,adamscr01,Craig,Adams,RW,R,1996,9.222999999999999,183,197,1977-04-26,41.41088325,BN,Other,2013,PIT,48,3,6,9,-1,28,2,0,1,0,6,0,0,46,71,399.0,11.1,51,47,107,37,5,7,99.8,41.3,58.7,-0.2,0.4,675000.0,675000.0,1.05,0.6,0.57,275,365,42.97,-7.25,9,13,10.7,11.22,48.81,-3.88,10,11,2.56,2.86,0.43,43.59,17.32,27.19,47.06,27.76,49.78,48.0,1,6,7,4,3.81,-90,-4,40.91,-0.52,1,63,9.47
21,adamscr01,Craig,Adams,RW,R,1996,9.222999999999999,183,197,1977-04-26,41.41088325,BN,Other,2014,PIT,82,5,6,11,-16,46,5,0,0,0,6,0,0,73,125,760.9,12.28,61,78,190,59,15,16,96.0,37.9,62.1,-1.1,0.5,700000.0,700000.0,0.63,0.55,-0.13,485,695,41.1,-9.23,13,32,17.89,23.73,42.98,-9.58,11,5,5.71,4.58,0.36,39.02,18.91,27.91,47.51,28.2,49.61,82.0,4,4,8,7,-1.69,-210,-19,28.89,-5.84,-6,116,9.15
22,adamscr01,Craig,Adams,RW,R,1996,9.222999999999999,183,197,1977-04-26,41.41088325,BN,Other,2015,PIT,70,1,6,7,-1,44,1,0,0,1,5,0,1,51,76,494.9,9.45,17,23,183,29,6,7,99.2,50.0,50.0,-1.0,0.8,700000.0,700000.0,0.73,0.36,0.54,354,387,47.77,-6.13,10,14,12.66,15.21,45.43,-8.52,11,6,2.27,3.48,0.42,50.26,14.79,27.25,50.43,28.12,49.83,69.0,1,5,6,3,4.45,-33,-4,41.67,-2.55,-5,67,8.12
23,adamske01,Kevyn,Adams,C,R,1993,1.025,185,200,1974-10-08,43.95987493,US,Other,2008,CHI,27,0,2,2,-7,13,0,0,0,0,0,0,2,32,43,196.53,10.56,103,104,13,11,9,3,91.5,40.0,60.0,-0.6,0.0,,,,,0.12,127,142,47.21,-1.96,2,11,4.62,7.2,39.09,-8.97,4,6,,1.62,0.49,44.62,17.82,27.21,49.5,27.64,51.78,25.0,,,,,0.4,-15,-9,15.38,-2.58,2,35,10.69
24,afinoma01,Maxim,Afinogenov,RW,L,1997,3.069,183,190,1979-09-04,39.05354570000001,SU,Other,2008,BUF,56,10,18,28,-16,42,9,1,0,1,13,5,0,114,216,651.53,16.03,1,4,25,6,17,42,94.2,53.8,46.2,1.5,0.2,,,1.75,1.38,2.13,622,516,54.66,7.15,25,35,25.9,22.3,53.73,5.33,12,15,9.76,6,0.55,52.19,27.93,30.19,48.93,28.94,49.92,52.0,8,11,19,15,23.12,106,-10,41.67,3.6,3,152,14
25,afinoma01,Maxim,Afinogenov,RW,L,1997,3.069,183,190,1979-09-04,39.05354570000001,SU,Other,2009,BUF,48,6,14,20,-7,20,6,0,0,0,7,7,0,93,172,481.13,12.36,0,3,20,11,15,36,97.0,52.3,47.7,1.0,0.4,,,1.5,1.12,2.06,479,441,52.07,2.15,18,25,16.69,18.83,46.99,-6.58,9,12,6.1,6.05,0.75,52.16,22.2,29.24,48.76,28.44,48.82,48.0,5,7,12,9,16.52,38,-7,41.86,-2.14,3,144,17.96
26,afinoma01,Maxim,Afinogenov,RW,L,1997,3.069,183,190,1979-09-04,39.05354570000001,SU,Other,2010,ATL,82,24,37,61,-17,46,18,6,0,3,25,12,0,181,321,1136.83,17.24,1,2,32,21,65,63,99.0,49.2,50.8,5.0,0.7,,,2.11,1.64,1.79,1013,1081,48.38,-0.21,53,65,39.27,49.77,44.1,-2.42,20,22,10.95,11.16,0.59,48.18,29.52,31.16,49.53,29.59,49.84,82.0,15,25,40,31,33.87,-68,-12,,-10.5,2,250,13.19
27,alberan01,Andrew,Alberts,D,L,2001,6.178999999999999,196,206,1981-06-30,37.23283763,US,Other,2008,BOS,35,0,2,2,4,39,0,0,0,0,2,0,0,25,62,190.32,20.37,1,1,53,52,5,15,102.2,44.3,55.7,-0.6,1.8,1250000.0,1250000.0,0.32,0.32,0.71,153,140,52.22,0.08,4,7,5.84,6.21,48.46,-2.52,6,3,,0.38,0.12,44.79,35.42,29.13,52.31,29.37,49.28,13.0,,1,1,1,2.25,13,-3,36.36,-0.37,-3,25,7.88
